asset_id,asset_type,manufacturer,department,asset_age,usage_hours,maintenance_count,maintenance_cost,breakdown_count,last_service_days,status,warranty,failure
307,CT Scanner,GE Healthcare,ICU,2,9838,11,3568,1,192,Working,No,0
308,MRI Scanner,Drager,Emergency,6,7835,10,808,7,77,Out of Service,Yes,1
309,CT Scanner,Philips,Operation Theatre,1,24697,11,11845,7,113,Working,No,1
310,Patient Monitor,GE Healthcare,Operation Theatre,5,12378,15,515,9,230,Under Maintenance,Yes,1
311,Ventilator,Philips,ICU,1,1496,5,10972,10,211,Working,No,1
312,CT Scanner,Philips,Radiology,9,17317,15,2360,3,107,Working,Yes,1
313,Ultrasound Machine,Mindray,Operation Theatre,5,10662,1,4257,10,127,Working,No,1
314,MRI Scanner,Philips,Cardiology,2,6236,6,14595,9,91,Out of Service,No,1
315,CT Scanner,Philips,ICU,4,20153,9,14479,1,25,Out of Service,No,1
316,Patient Monitor,Drager,ICU,2,24058,15,2168,9,247,Out of Service,Yes,1
317,Patient Monitor,Philips,Emergency,4,18299,13,6406,8,129,Working,No,1
318,MRI Scanner,Drager,Radiology,2,4940,15,4625,0,59,Out of Service,Yes,1
319,MRI Scanner,Drager,Emergency,10,19424,1,6130,9,206,Working,No,1
320,ECG Machine,Drager,Emergency,9,17710,5,14640,3,255,Working,Yes,1
321,Ventilator,Drager,Radiology,7,1645,10,5072,8,106,Under Maintenance,Yes,1
322,ECG Machine,Drager,ICU,3,18066,7,9274,8,27,Out of Service,No,1
323,Patient Monitor,Drager,Radiology,9,21041,14,3828,0,137,Out of Service,Yes,1
324,ECG Machine,Philips,Emergency,2,14470,6,3181,0,314,Working,Yes,0
325,Ultrasound Machine,GE Healthcare,ICU,8,7838,10,9457,2,264,Out of Service,No,1
326,Infusion Pump,Siemens,Emergency,6,20727,7,8329,5,314,Out of Service,No,1
327,Ultrasound Machine,Siemens,Cardiology,5,11705,6,9892,9,359,Under Maintenance,No,1
328,ECG Machine,Philips,Emergency,6,15340,7,7841,4,204,Working,Yes,0
329,ECG Machine,GE Healthcare,Radiology,3,24147,6,7046,1,167,Out of Service,Yes,1
330,ECG Machine,Mindray,Operation Theatre,7,23635,9,1143,0,189,Out of Service,Yes,1
331,Ultrasound Machine,Drager,ICU,1,11739,11,4698,8,294,Working,No,1
332,ECG Machine,Mindray,Emergency,4,17312,8,13278,3,191,Working,Yes,1
333,Ventilator,Mindray,Cardiology,3,16113,13,14246,3,127,Under Maintenance,Yes,1
334,ECG Machine,Mindray,ICU,8,7237,11,12520,5,179,Working,No,1
335,ECG Machine,GE Healthcare,ICU,9,10698,15,9271,8,295,Under Maintenance,No,1
336,ECG Machine,Mindray,Radiology,8,9517,8,13760,2,239,Out of Service,No,1
337,Infusion Pump,GE Healthcare,Operation Theatre,6,23342,5,809,6,140,Working,No,1
338,CT Scanner,GE Healthcare,Radiology,1,18600,4,1403,1,293,Out of Service,Yes,1
339,ECG Machine,Mindray,Radiology,3,6883,7,7624,1,129,Under Maintenance,No,0
340,Ventilator,GE Healthcare,Radiology,6,4331,12,11717,1,150,Working,Yes,1
341,Defibrillator,Siemens,Radiology,8,5251,15,9209,2,331,Out of Service,Yes,1
342,Patient Monitor,Mindray,Radiology,4,16037,1,8875,8,153,Working,Yes,1
343,Defibrillator,Drager,ICU,8,4305,5,14417,10,34,Under Maintenance,No,1
344,Ventilator,Philips,Cardiology,9,1360,3,5741,6,71,Working,No,1
345,ECG Machine,Siemens,Cardiology,5,21258,10,6751,4,77,Working,Yes,0
346,Ultrasound Machine,GE Healthcare,Radiology,9,1925,11,8700,5,79,Under Maintenance,No,1
347,CT Scanner,Siemens,Operation Theatre,1,18342,2,6083,0,150,Under Maintenance,No,0
348,Patient Monitor,Drager,Cardiology,2,23865,15,5031,5,253,Under Maintenance,Yes,1
349,Infusion Pump,Siemens,Cardiology,1,6261,11,13845,5,360,Out of Service,Yes,1
350,ECG Machine,Siemens,Emergency,2,11384,2,3675,10,311,Under Maintenance,No,1
351,Patient Monitor,Mindray,Emergency,8,7134,3,8922,3,268,Working,Yes,1
352,Defibrillator,GE Healthcare,Cardiology,9,9414,7,13108,0,360,Under Maintenance,No,1
353,Ultrasound Machine,Siemens,Emergency,7,7978,15,14970,4,212,Out of Service,Yes,1
354,Defibrillator,Drager,ICU,9,18502,15,3114,1,309,Under Maintenance,Yes,1
355,CT Scanner,Drager,ICU,4,18094,6,13614,0,225,Working,Yes,1
356,ECG Machine,Mindray,Cardiology,7,17605,11,13342,0,334,Working,Yes,1
357,MRI Scanner,Drager,Operation Theatre,10,10474,15,9033,3,110,Under Maintenance,No,1
358,MRI Scanner,GE Healthcare,ICU,8,5486,6,6258,0,27,Under Maintenance,No,1
359,Infusion Pump,Philips,Operation Theatre,2,8801,5,10070,6,202,Out of Service,Yes,1
360,Patient Monitor,GE Healthcare,Cardiology,5,22814,15,11924,8,229,Working,No,1
361,MRI Scanner,Mindray,Operation Theatre,2,10547,14,13746,4,302,Out of Service,No,1
362,Ultrasound Machine,Siemens,Cardiology,10,4248,9,6525,0,320,Working,No,1
363,Defibrillator,Mindray,ICU,9,15983,8,7381,4,360,Working,No,1
364,MRI Scanner,GE Healthcare,Radiology,3,24747,4,651,9,101,Under Maintenance,No,1
365,Defibrillator,Siemens,Operation Theatre,9,11673,10,10149,3,130,Under Maintenance,Yes,1
366,Infusion Pump,GE Healthcare,Cardiology,5,18316,14,6316,6,170,Under Maintenance,Yes,1
367,Infusion Pump,Philips,Operation Theatre,8,10972,1,12293,0,303,Working,Yes,1
368,ECG Machine,Siemens,Cardiology,2,13233,11,10990,6,61,Working,No,1
369,Infusion Pump,Siemens,Radiology,1,10658,14,13649,5,223,Under Maintenance,Yes,1
370,CT Scanner,Mindray,ICU,6,10122,2,3447,2,163,Under Maintenance,Yes,0
371,Defibrillator,GE Healthcare,Radiology,5,11915,9,6959,4,17,Out of Service,Yes,1
372,Ventilator,Philips,Radiology,9,4686,3,7562,8,222,Out of Service,No,1
373,ECG Machine,Mindray,Emergency,6,17170,12,3749,8,282,Under Maintenance,No,1
374,Ultrasound Machine,Drager,Emergency,3,13346,3,6136,1,232,Out of Service,No,1
375,MRI Scanner,Drager,Emergency,5,16265,3,6011,8,266,Under Maintenance,No,1
376,Defibrillator,Philips,Cardiology,8,4203,1,7041,1,251,Under Maintenance,Yes,1
377,ECG Machine,GE Healthcare,Cardiology,8,7745,2,3909,4,96,Working,No,1
378,Ultrasound Machine,Philips,Emergency,1,13650,12,14543,4,143,Out of Service,Yes,1
379,ECG Machine,Mindray,Cardiology,4,6685,7,2411,0,6,Under Maintenance,Yes,0
380,Ultrasound Machine,Siemens,ICU,10,3205,15,13063,3,82,Out of Service,No,1
381,Patient Monitor,Philips,Cardiology,8,15131,3,13648,0,244,Working,No,1
382,ECG Machine,Siemens,Radiology,9,24005,1,1507,5,188,Working,No,1
383,MRI Scanner,GE Healthcare,Radiology,5,9596,13,9661,4,48,Out of Service,No,1
384,Patient Monitor,Siemens,Emergency,3,15387,6,6743,0,322,Out of Service,Yes,1
385,Ultrasound Machine,Drager,Emergency,6,7500,5,4370,6,17,Working,No,1
386,Patient Monitor,Philips,Emergency,4,11648,11,6144,7,1,Under Maintenance,No,1
387,MRI Scanner,Siemens,Radiology,7,12080,11,5317,3,356,Out of Service,No,1
388,CT Scanner,Siemens,Radiology,4,12232,6,2728,3,334,Out of Service,No,1
389,CT Scanner,Philips,Cardiology,5,14175,14,5903,4,128,Under Maintenance,Yes,0
390,ECG Machine,Drager,Cardiology,6,3062,14,6889,8,233,Under Maintenance,No,1
391,Infusion Pump,Philips,Emergency,2,14526,10,2575,2,25,Out of Service,No,1
392,ECG Machine,Philips,Radiology,7,6549,7,5241,9,63,Working,Yes,1
393,Ultrasound Machine,Drager,Operation Theatre,1,22004,7,2956,10,146,Under Maintenance,No,1
394,Defibrillator,Siemens,ICU,1,9191,8,12270,5,134,Under Maintenance,Yes,1
395,Patient Monitor,Siemens,ICU,10,8062,2,9860,2,215,Working,No,1
396,Ventilator,Siemens,Emergency,8,19076,12,6001,3,356,Under Maintenance,Yes,1
397,Patient Monitor,Drager,Cardiology,7,20850,1,7357,2,312,Under Maintenance,Yes,1
398,MRI Scanner,GE Healthcare,Radiology,2,2930,15,6990,10,204,Under Maintenance,No,1
399,CT Scanner,GE Healthcare,Emergency,8,13432,11,2099,3,287,Out of Service,Yes,1
400,Ventilator,Philips,Radiology,2,12299,5,4985,6,36,Under Maintenance,No,1
401,MRI Scanner,Philips,Emergency,3,4415,1,12730,3,345,Out of Service,Yes,1
402,Defibrillator,Siemens,Radiology,3,5830,2,4928,4,353,Working,Yes,0
403,Ventilator,GE Healthcare,Radiology,7,5821,15,1195,3,184,Working,Yes,1
404,Patient Monitor,Drager,Operation Theatre,3,12799,11,12267,1,257,Under Maintenance,No,1
405,Ventilator,GE Healthcare,Emergency,9,15926,5,11451,2,149,Out of Service,Yes,1
406,Infusion Pump,Siemens,Emergency,6,23069,12,7114,4,182,Under Maintenance,Yes,0
407,Ventilator,Mindray,Emergency,5,16353,8,13261,6,169,Working,Yes,1
408,Defibrillator,Philips,Radiology,1,10095,15,10507,1,3,Under Maintenance,Yes,1
409,ECG Machine,GE Healthcare,Operation Theatre,2,8927,10,3946,0,339,Under Maintenance,Yes,0
410,Patient Monitor,Philips,Emergency,4,8777,3,14529,2,195,Working,Yes,1
411,Ventilator,Drager,Radiology,4,17234,11,1661,5,234,Working,No,1
412,Defibrillator,GE Healthcare,Radiology,8,9157,12,7784,9,92,Working,No,1
413,Infusion Pump,GE Healthcare,ICU,7,24377,13,6128,4,360,Under Maintenance,No,1
414,ECG Machine,Drager,Cardiology,7,8769,9,9446,8,268,Under Maintenance,Yes,1
415,MRI Scanner,Siemens,Radiology,4,20177,10,5962,7,107,Out of Service,No,1
416,MRI Scanner,Mindray,Emergency,6,10677,4,11270,1,310,Under Maintenance,No,1
417,Infusion Pump,GE Healthcare,ICU,3,20913,2,714,4,71,Working,No,0
418,Patient Monitor,Drager,ICU,7,11061,9,8685,2,70,Under Maintenance,No,1
419,Patient Monitor,Siemens,Radiology,4,5554,1,9092,8,84,Out of Service,No,1
420,Ventilator,Philips,Operation Theatre,9,19827,10,5204,9,279,Under Maintenance,No,1
421,MRI Scanner,Mindray,Radiology,1,5238,15,519,0,71,Out of Service,No,1
422,Patient Monitor,Drager,Emergency,10,12911,9,10649,8,58,Under Maintenance,No,1
423,MRI Scanner,Mindray,Emergency,3,23249,6,5295,9,31,Out of Service,No,1
424,Ventilator,Siemens,Radiology,3,11860,14,6491,3,275,Under Maintenance,No,0
425,Ultrasound Machine,Drager,Radiology,8,19714,3,7789,7,364,Working,Yes,1
426,Ultrasound Machine,Mindray,Cardiology,1,13269,4,10308,10,50,Under Maintenance,Yes,1
427,Ventilator,GE Healthcare,Radiology,1,21661,6,12865,6,278,Working,Yes,1
428,Ultrasound Machine,Drager,ICU,1,22460,12,5406,1,143,Under Maintenance,Yes,0
429,Ventilator,Drager,ICU,8,15723,2,9845,2,47,Under Maintenance,Yes,1
430,CT Scanner,Drager,Radiology,1,7910,13,14229,1,198,Under Maintenance,Yes,1
431,Defibrillator,Siemens,Operation Theatre,4,24937,5,6844,9,95,Under Maintenance,No,1
432,CT Scanner,GE Healthcare,ICU,4,19813,4,3655,8,37,Out of Service,No,1
433,Patient Monitor,Philips,Radiology,4,11501,10,7542,10,248,Under Maintenance,Yes,1
434,Ventilator,Siemens,Emergency,3,19993,13,12924,4,116,Out of Service,No,1
435,MRI Scanner,Mindray,ICU,4,9452,4,13080,10,45,Under Maintenance,Yes,1
436,ECG Machine,Drager,Cardiology,10,12657,10,6737,6,262,Under Maintenance,No,1
437,MRI Scanner,Mindray,ICU,10,22787,2,13269,7,270,Out of Service,No,1
438,Patient Monitor,Mindray,Emergency,3,24178,8,10055,9,16,Working,Yes,1
439,Defibrillator,GE Healthcare,ICU,9,15156,13,8971,0,306,Under Maintenance,Yes,1
440,ECG Machine,Siemens,Cardiology,9,23340,8,6705,9,55,Under Maintenance,No,1
441,CT Scanner,Siemens,Operation Theatre,7,6321,5,3455,4,46,Out of Service,Yes,1
442,Ventilator,Mindray,Cardiology,4,2571,4,2339,0,193,Under Maintenance,No,0
443,MRI Scanner,Drager,ICU,3,7799,11,9801,6,156,Under Maintenance,No,1
444,Ultrasound Machine,Drager,Emergency,3,17424,7,7223,1,143,Out of Service,Yes,1
445,CT Scanner,Siemens,Cardiology,9,7534,9,14057,5,222,Working,No,1
446,Defibrillator,Drager,Emergency,7,23842,5,13287,5,256,Under Maintenance,Yes,1
447,Defibrillator,Philips,Emergency,8,6353,11,13659,7,195,Under Maintenance,No,1
448,MRI Scanner,GE Healthcare,Emergency,9,8527,13,11592,3,172,Under Maintenance,Yes,1
449,Patient Monitor,Mindray,Operation Theatre,6,4480,10,9655,9,75,Out of Service,Yes,1
450,Patient Monitor,Drager,Radiology,2,15150,11,6020,2,13,Out of Service,No,1
451,Ventilator,Mindray,Operation Theatre,10,15791,5,1120,2,147,Out of Service,No,1
452,Defibrillator,GE Healthcare,Operation Theatre,6,4988,2,6389,0,215,Working,No,0
453,Defibrillator,Siemens,ICU,3,7655,12,1895,9,354,Working,No,1
454,Patient Monitor,Mindray,Radiology,10,12416,5,6241,1,298,Working,Yes,1
455,ECG Machine,Drager,ICU,10,5874,5,6303,3,355,Working,Yes,1
456,Defibrillator,Siemens,ICU,5,11819,12,2068,8,49,Under Maintenance,No,1
457,Patient Monitor,Philips,ICU,8,13369,1,7336,3,114,Under Maintenance,Yes,1
458,Ultrasound Machine,Siemens,ICU,2,8149,11,8448,3,69,Working,No,1
459,Ventilator,Drager,Cardiology,4,19324,4,1659,10,204,Under Maintenance,No,1
460,Ventilator,GE Healthcare,Emergency,3,3800,14,6682,7,316,Working,Yes,1
461,CT Scanner,GE Healthcare,Cardiology,8,9362,8,8982,5,99,Out of Service,No,1
462,Infusion Pump,Drager,Emergency,8,7149,13,12925,10,206,Out of Service,Yes,1
463,MRI Scanner,Philips,Radiology,10,12076,13,13483,2,177,Working,No,1
464,ECG Machine,Mindray,Radiology,5,20110,11,4676,8,58,Working,Yes,1
465,CT Scanner,Mindray,Cardiology,7,12668,7,5779,6,156,Working,No,1
466,Ultrasound Machine,Siemens,Emergency,8,2105,12,8093,6,55,Under Maintenance,Yes,1
467,Ventilator,GE Healthcare,Cardiology,4,8561,12,5386,6,49,Working,Yes,1
468,ECG Machine,Philips,Operation Theatre,1,14928,11,7641,3,135,Out of Service,No,1
469,CT Scanner,Philips,Emergency,5,2112,1,2490,3,317,Under Maintenance,No,0
470,CT Scanner,Mindray,ICU,4,24450,3,6087,6,9,Out of Service,Yes,1
471,MRI Scanner,Mindray,Cardiology,2,11233,7,5224,10,25,Under Maintenance,Yes,1
472,Defibrillator,Siemens,ICU,9,20513,5,7186,6,56,Working,No,1
473,ECG Machine,Philips,Operation Theatre,3,16082,9,7797,10,293,Working,No,1
474,CT Scanner,Siemens,Operation Theatre,3,11621,14,12596,5,261,Out of Service,No,1
475,MRI Scanner,Drager,ICU,6,18971,5,3051,8,260,Under Maintenance,Yes,1
476,Defibrillator,GE Healthcare,Emergency,9,13218,11,10962,2,339,Out of Service,Yes,1
477,Ventilator,Mindray,Cardiology,7,7116,14,8618,7,31,Under Maintenance,Yes,1
478,Defibrillator,GE Healthcare,Cardiology,8,10926,3,7571,0,65,Working,Yes,1
479,Defibrillator,Mindray,Cardiology,9,1674,2,3355,1,207,Out of Service,Yes,1
480,Defibrillator,Mindray,ICU,7,8482,1,14181,1,246,Out of Service,Yes,1
481,Defibrillator,Mindray,Radiology,1,19454,5,6317,1,25,Out of Service,No,1
482,Infusion Pump,Mindray,ICU,9,21547,13,8486,3,18,Out of Service,Yes,1
483,Infusion Pump,Philips,Radiology,2,14461,6,1733,3,41,Working,No,0
484,Infusion Pump,Drager,ICU,7,5013,12,5144,1,284,Out of Service,Yes,1
485,Ultrasound Machine,Philips,Radiology,9,14255,6,1769,4,46,Out of Service,No,1
486,Infusion Pump,Philips,Emergency,10,13983,10,590,7,287,Under Maintenance,No,1
487,Defibrillator,GE Healthcare,Cardiology,10,19160,2,3173,9,17,Under Maintenance,No,1
488,Defibrillator,Siemens,Radiology,9,1357,4,6308,10,234,Out of Service,Yes,1
489,Patient Monitor,GE Healthcare,Operation Theatre,7,2638,8,2033,2,157,Out of Service,Yes,1
490,CT Scanner,Mindray,Emergency,5,6873,6,5563,5,244,Out of Service,No,1
491,Infusion Pump,GE Healthcare,ICU,5,5310,6,14350,9,160,Working,No,1
492,Defibrillator,Siemens,Emergency,6,18127,11,6518,7,330,Working,Yes,1
493,Infusion Pump,Mindray,Radiology,10,15943,2,1132,2,123,Under Maintenance,Yes,1
494,Defibrillator,Siemens,Cardiology,9,5405,8,9304,9,122,Working,No,1
495,ECG Machine,Drager,Operation Theatre,3,3148,5,10276,4,239,Out of Service,Yes,1
496,Defibrillator,GE Healthcare,ICU,6,6411,13,7885,9,70,Under Maintenance,No,1
497,CT Scanner,GE Healthcare,ICU,9,8664,6,9398,7,210,Under Maintenance,Yes,1
498,Patient Monitor,Mindray,ICU,3,20824,15,11218,9,177,Working,Yes,1
499,MRI Scanner,Philips,Operation Theatre,2,5721,13,11985,0,277,Out of Service,No,1
500,ECG Machine,Drager,Cardiology,8,4440,10,10919,4,108,Working,Yes,1
501,Ultrasound Machine,Siemens,Cardiology,5,23031,14,9208,8,67,Out of Service,Yes,1
502,Defibrillator,Philips,Cardiology,3,22388,6,12518,1,79,Out of Service,No,1
503,CT Scanner,Mindray,ICU,1,915,9,11236,6,30,Under Maintenance,Yes,1
504,CT Scanner,Siemens,Cardiology,6,14171,2,11094,9,120,Working,Yes,1
505,MRI Scanner,Mindray,Operation Theatre,6,2347,15,2233,8,201,Working,Yes,1
506,CT Scanner,Philips,Operation Theatre,9,4057,9,6018,0,51,Out of Service,Yes,1
507,MRI Scanner,Mindray,Operation Theatre,1,1077,7,11132,6,330,Out of Service,Yes,1
508,Ventilator,Siemens,Operation Theatre,4,8097,15,13634,6,73,Working,Yes,1
509,MRI Scanner,GE Healthcare,Emergency,3,15035,8,556,6,80,Working,Yes,1
510,ECG Machine,GE Healthcare,Operation Theatre,10,777,10,11158,2,295,Out of Service,No,1
511,Defibrillator,GE Healthcare,Operation Theatre,2,19636,11,10783,8,284,Working,Yes,1
512,Ventilator,GE Healthcare,Operation Theatre,1,19678,1,10006,7,292,Working,No,1
513,CT Scanner,Drager,Operation Theatre,2,7219,5,4455,7,123,Working,Yes,1
514,Infusion Pump,Siemens,Radiology,7,9093,7,10577,0,99,Under Maintenance,Yes,1
515,CT Scanner,Siemens,Emergency,10,13373,5,4419,9,327,Working,No,1
516,ECG Machine,Mindray,Cardiology,2,4187,15,13819,4,12,Under Maintenance,Yes,1
517,Defibrillator,GE Healthcare,Radiology,5,5118,2,3825,8,329,Out of Service,No,1
518,ECG Machine,Drager,ICU,10,20198,8,1813,3,27,Working,Yes,1
519,CT Scanner,Philips,Emergency,1,15167,7,1915,9,17,Working,No,1
520,Patient Monitor,GE Healthcare,Operation Theatre,9,17014,3,5075,3,18,Under Maintenance,Yes,1
521,MRI Scanner,GE Healthcare,Cardiology,6,4259,11,12227,6,359,Out of Service,No,1
522,Patient Monitor,GE Healthcare,Radiology,6,9239,5,3864,10,135,Out of Service,Yes,1
523,CT Scanner,Drager,Operation Theatre,9,16427,1,8323,8,259,Under Maintenance,No,1
524,Patient Monitor,Mindray,Operation Theatre,8,21926,6,10846,9,274,Under Maintenance,Yes,1
525,ECG Machine,Siemens,Operation Theatre,5,22502,15,13568,8,334,Working,No,1
526,Ventilator,Siemens,Radiology,9,4892,8,12507,6,129,Working,No,1
527,Defibrillator,GE Healthcare,Emergency,3,10322,11,3223,4,297,Out of Service,No,1
528,Defibrillator,Mindray,Radiology,6,20432,6,8193,3,296,Out of Service,No,1
529,Infusion Pump,Philips,Operation Theatre,3,12785,5,7843,8,206,Under Maintenance,Yes,1
530,ECG Machine,Siemens,ICU,2,8557,8,7987,8,23,Under Maintenance,No,1
531,MRI Scanner,Philips,Cardiology,9,9260,14,9586,5,280,Under Maintenance,No,1
532,Ultrasound Machine,Siemens,Cardiology,3,16799,8,8572,9,127,Under Maintenance,Yes,1
533,ECG Machine,Drager,Emergency,5,19257,12,2913,6,6,Working,Yes,1
534,Ultrasound Machine,Siemens,ICU,10,20221,9,4953,9,161,Out of Service,Yes,1
535,CT Scanner,Siemens,Emergency,10,19640,2,4724,1,351,Out of Service,Yes,1
536,Infusion Pump,Mindray,Radiology,7,2505,5,532,10,278,Under Maintenance,Yes,1
537,Ultrasound Machine,GE Healthcare,Cardiology,9,21059,9,8707,3,358,Under Maintenance,Yes,1
538,Infusion Pump,Siemens,ICU,3,23394,2,1101,9,359,Out of Service,Yes,1
539,ECG Machine,Mindray,ICU,1,1323,9,14149,7,364,Out of Service,No,1
540,Ventilator,Mindray,Radiology,8,22223,7,14348,6,54,Working,No,1
541,Ultrasound Machine,Philips,ICU,6,8103,13,4710,4,107,Under Maintenance,Yes,0
542,ECG Machine,Drager,Operation Theatre,7,2314,3,10536,6,222,Under Maintenance,No,1
543,Defibrillator,Siemens,ICU,5,716,8,13055,0,70,Working,No,1
544,Defibrillator,Siemens,Cardiology,2,15274,5,5601,7,262,Working,No,1
545,Ventilator,Drager,Radiology,1,631,11,5576,5,18,Working,Yes,1
546,CT Scanner,Mindray,ICU,10,12056,5,900,7,293,Out of Service,No,1
547,Infusion Pump,GE Healthcare,Emergency,5,5749,4,8006,3,287,Out of Service,No,1
548,MRI Scanner,Mindray,Emergency,8,5190,9,5527,9,199,Working,Yes,1
549,CT Scanner,Drager,Radiology,1,20782,8,12574,4,36,Working,No,1
550,Ventilator,Siemens,Radiology,7,17509,10,13916,1,318,Under Maintenance,No,1
551,Infusion Pump,Mindray,ICU,10,20959,12,12258,8,330,Out of Service,No,1
552,Infusion Pump,Mindray,ICU,1,3371,1,12754,9,267,Working,Yes,1
553,Infusion Pump,Drager,Cardiology,9,7959,14,596,10,61,Working,Yes,1
554,MRI Scanner,GE Healthcare,ICU,9,6262,11,6233,1,355,Working,No,1
555,Defibrillator,Siemens,ICU,5,6019,7,3136,4,284,Under Maintenance,No,0
556,ECG Machine,Siemens,Emergency,9,15541,1,4789,2,201,Out of Service,Yes,1
557,MRI Scanner,Mindray,Emergency,3,4641,6,14262,9,64,Out of Service,No,1
558,Ventilator,Siemens,Cardiology,5,1239,12,1345,1,300,Under Maintenance,No,0
559,Ventilator,Philips,Emergency,6,2622,12,14032,8,120,Under Maintenance,Yes,1
560,MRI Scanner,Drager,Emergency,2,17236,13,8222,4,337,Working,Yes,1
561,Defibrillator,Philips,Operation Theatre,7,20744,10,3417,1,72,Working,Yes,1
562,CT Scanner,Mindray,Radiology,4,4027,5,10577,5,333,Under Maintenance,Yes,1
563,MRI Scanner,GE Healthcare,Emergency,4,8297,13,8827,7,71,Out of Service,Yes,1
564,Patient Monitor,Philips,ICU,6,13441,9,3891,8,185,Out of Service,No,1
565,Ultrasound Machine,Drager,Cardiology,3,3392,9,4655,8,325,Out of Service,No,1
566,ECG Machine,Philips,Emergency,4,18942,12,2483,3,108,Working,No,0
567,Patient Monitor,Drager,Radiology,1,14304,13,14597,6,296,Out of Service,No,1
568,Infusion Pump,Drager,Emergency,5,9265,5,9299,0,81,Working,No,1
569,CT Scanner,GE Healthcare,Cardiology,3,23436,13,10080,3,282,Out of Service,Yes,1
570,ECG Machine,Philips,ICU,3,16846,10,5825,9,96,Under Maintenance,Yes,1
571,ECG Machine,Mindray,ICU,9,5666,1,1379,9,362,Under Maintenance,Yes,1
572,ECG Machine,GE Healthcare,ICU,5,13450,15,9987,1,230,Out of Service,No,1
573,MRI Scanner,Siemens,Emergency,1,15590,10,917,9,307,Out of Service,Yes,1
574,Ventilator,Drager,Operation Theatre,1,8476,2,2646,8,150,Out of Service,No,1
575,MRI Scanner,Drager,Cardiology,4,4830,1,10419,10,353,Working,No,1
576,Ultrasound Machine,GE Healthcare,Operation Theatre,3,867,12,9332,6,231,Under Maintenance,Yes,1
577,ECG Machine,Siemens,Emergency,2,8514,6,12332,7,232,Working,No,1
578,MRI Scanner,Siemens,Emergency,9,13505,10,6840,2,297,Working,Yes,1
579,Ultrasound Machine,Drager,Radiology,7,3275,15,8457,7,230,Working,No,1
580,Ultrasound Machine,Mindray,Emergency,2,20594,9,13606,5,22,Working,No,1
581,Defibrillator,Drager,Radiology,8,8377,10,8647,6,262,Out of Service,Yes,1
582,MRI Scanner,Mindray,Radiology,10,10196,2,13521,5,263,Working,Yes,1
583,Ventilator,Drager,ICU,5,1700,7,9382,2,109,Under Maintenance,No,1
584,CT Scanner,Mindray,Emergency,8,20552,2,5089,8,341,Out of Service,No,1
585,Infusion Pump,GE Healthcare,Operation Theatre,6,16286,10,8171,8,286,Under Maintenance,No,1
586,Defibrillator,Philips,Emergency,3,10848,2,580,9,31,Under Maintenance,No,1
587,MRI Scanner,Siemens,Radiology,8,7790,9,6727,9,247,Under Maintenance,Yes,1
588,Ultrasound Machine,Siemens,Cardiology,6,19498,1,904,6,44,Out of Service,Yes,1
589,Ventilator,Drager,ICU,8,16667,12,6498,9,166,Working,Yes,1
590,Ultrasound Machine,Siemens,Cardiology,8,22108,4,13199,5,30,Under Maintenance,Yes,1
591,Ultrasound Machine,Mindray,Operation Theatre,8,16780,10,6725,7,130,Working,Yes,1
592,MRI Scanner,Philips,Emergency,2,9415,4,12769,2,74,Out of Service,No,1
593,Patient Monitor,GE Healthcare,Operation Theatre,9,15328,5,12736,2,19,Under Maintenance,No,1
594,Ultrasound Machine,GE Healthcare,Radiology,4,22134,14,7137,6,3,Out of Service,Yes,1
595,Infusion Pump,Philips,ICU,3,7485,7,3008,5,209,Out of Service,No,1
596,MRI Scanner,Drager,Cardiology,1,8619,9,1563,4,134,Out of Service,Yes,1
597,CT Scanner,Philips,Operation Theatre,9,2984,8,12394,4,20,Out of Service,Yes,1
598,Infusion Pump,Philips,Operation Theatre,9,23993,13,12071,0,212,Under Maintenance,Yes,1
599,Ventilator,Philips,Operation Theatre,6,1400,14,2223,0,175,Out of Service,No,1
600,Ventilator,Mindray,Radiology,5,1943,3,2275,0,202,Working,Yes,0
601,Ventilator,Siemens,Operation Theatre,8,12998,13,4971,3,268,Out of Service,No,1
602,CT Scanner,Siemens,Emergency,3,11154,7,3819,9,229,Out of Service,Yes,1
603,Patient Monitor,Siemens,Cardiology,8,9141,1,13606,1,73,Under Maintenance,Yes,1
604,MRI Scanner,Drager,Operation Theatre,4,15194,3,3208,5,27,Under Maintenance,No,1
605,Defibrillator,Philips,Cardiology,5,8700,11,4064,5,276,Under Maintenance,No,1
606,Patient Monitor,GE Healthcare,Emergency,6,23803,9,1905,10,278,Working,Yes,1
607,Patient Monitor,GE Healthcare,ICU,2,10723,7,6610,3,355,Out of Service,Yes,1
608,CT Scanner,Siemens,Operation Theatre,6,4656,15,6352,1,350,Working,No,0
609,Defibrillator,Siemens,Radiology,6,13628,8,10096,10,80,Under Maintenance,No,1
610,Ultrasound Machine,Drager,Operation Theatre,2,23395,9,6489,2,62,Under Maintenance,No,0
611,Infusion Pump,Philips,ICU,2,16571,2,9872,0,246,Under Maintenance,Yes,1
612,Ventilator,GE Healthcare,Cardiology,6,5887,5,5019,4,96,Under Maintenance,No,0
613,ECG Machine,Siemens,ICU,7,6432,1,3056,5,335,Out of Service,Yes,1
614,CT Scanner,Mindray,Operation Theatre,2,4197,8,12159,4,331,Out of Service,Yes,1
615,Ultrasound Machine,GE Healthcare,Operation Theatre,3,23667,4,3664,3,117,Out of Service,Yes,1
